exoId;dofId;aim;adjustable;rangeAdjustable;lowerBoundMinAngle;lowerBoundMaxAngle;upperBoundMinAngle;upperBoundMaxAngle;sizeAdjustable;maxAngle;minAngle;mechanism;direction
40;22;Nee;Nee;;;;;;;door blokkage;-1
40;22;Nee;Nee;;;;;;;door blokkage;1
40;23;Nee;Nee;;;;;;;door blokkage;-1
40;23;Nee;Nee;;;;;;;door blokkage;1
40;28;Nee;Nee;;;;;;;door blokkage;-1
40;28;Nee;Nee;;;;;;;door blokkage;1
40;29;Nee;Nee;;;;;;;door blokkage;-1
40;29;Nee;Nee;;;;;;;door blokkage;1
41;30;Ja;;Nee;20;20;180;180;Nee;-;-;door momentenevenwicht;-1
41;30;Ja;Nee;;;;;;;;;;;door blokkage;-1
41;31;Ja;;Nee;40;40;150;150;Nee;-;-;door momentenevenwicht;-1
122;30;Ja;;Nee;25;25;180;180;Ja;-;-;door momentenevenwicht;-1
122;31;Ja;;Nee;35;35;140;140;Ja;-;-;door momentenevenwicht;-1
123;21;Ja;;Ja;15;90;;;;Nee;-;-;door momentenevenwicht;1
123;24;Ja;;Ja;15;90;;;;Nee;-;-;door momentenevenwicht;1
141;21;Ja;;Nee;;;;;;Ja;-;-;door momentenevenwicht;1
141;24;Ja;;Nee;;;;;;Ja;-;-;door momentenevenwicht;1
141;37;Ja;;Nee;;;;;;Ja;-;-;door momentenevenwicht;1
141;37;Ja;Nee;;;;;;;;;door blokkage;1
169;37;Ja;Ja;;;;;;;;;-;maxAngle:95;minAngle:45;door blokkage;1
175;21;Ja;;Nee;;;;;;Ja;-;-;door momentenevenwicht;1
175;24;Ja;;Nee;;;;;;Ja;-;-;door momentenevenwicht;1
176;30;Ja;;Nee;30;30;180;180;Ja;-;-;door momentenevenwicht;-1
176;30;Ja;Nee;;;;;;;;;;;door blokkage;-1
176;31;Ja;;Nee;45;45;145;145;Ja;-;-;door momentenevenwicht;-1
177;27;Ja;;Nee;;;;;;Nee;-;-;door momentenevenwicht;-1
